Month,Active Event,Unemployment Rate,Avg Person Savings,Avg Firm Savings,Avg Price,Avg Inventory,Avg Wage,Price_SMA,Stock_SMA
1,None,0.0,64415.52868359448,158635.58123468823,127.83580589897215,500.0,988.0200000000001,,
2,None,0.0,63145.21595141863,222151.21784348047,127.83580589897215,117.0,993.9797999999998,,
3,None,0.0,62799.164471216885,239453.7918535679,129.62550718155774,98.6,1003.9195980000001,,
4,None,0.0,62750.129924366796,241905.51919607242,131.69644723712108,197.1,1013.95879398,,
5,None,0.0,61989.91561201334,279916.23481374496,133.0003724572906,30.8,1024.0983819197997,,
6,None,0.0,61635.504214245346,297636.80470214447,135.66037990643642,23.4,1034.339365738998,,
7,None,0.0,61286.475155497516,315088.2576395363,138.37358750456514,24.2,1044.6827593963878,,
8,None,0.0,60943.287720903514,332247.62936923624,141.14105925465645,33.2,1055.129586990352,,
9,None,0.0,60492.68697078949,354777.66687493783,143.96388043974957,10.9,1065.6808828602552,,
10,None,0.0,60130.61831054731,372881.0998870454,146.84315804854458,25.4,1076.3376916888578,,
11,None,0.0,59711.128567456886,393855.58704156673,149.78002120951547,26.7,1087.1010686057464,,
12,None,0.0,59269.75490643071,415924.27009287634,152.77562163370578,27.1,1097.9720792918038,138.21097055592392,92.86666666666667
13,None,0.0,58789.06744578826,439958.6431249993,155.8311340663799,21.2,1108.951800084722,140.54391456987457,52.96666666666667
14,None,0.0,58329.76832417596,462923.5992056142,158.9477567477075,28.5,1120.0413180855692,143.13657714060253,45.59166666666667
15,None,0.0,57843.404177498545,487241.80653948523,162.12671188266165,33.7,1133.4280039057642,145.8450108656945,40.18333333333333
16,None,0.0,57337.16495523529,512553.7676526472,165.3692461203149,38.3,1147.014582017869,148.651077439294,26.95
17,None,0.0,56761.983737871786,541312.8285208233,168.6766310427212,27.9,1160.805045312901,151.62409898807988,26.708333333333332
18,None,0.0,56261.66182596807,566328.9241160079,172.05016366357563,45.0,1179.4468982625217,154.6565809678415,28.508333333333336
19,None,0.0,55741.75071136535,592324.4798461455,175.14706660951998,58.8,1205.5927065826113,157.72103755992106,31.39166666666667
20,None,0.0,55303.948180109175,614214.6064089544,178.65000794171038,97.7,1234.8254391557716,160.8467832838422,36.766666666666666
21,None,0.0,54915.99405450529,633612.3126891477,181.86500611999344,148.6,1269.7011911391792,164.00521042386254,48.24166666666667
22,None,0.0,54658.34684690567,646494.673069129,184.40682018190674,229.9,1305.6060310696944,167.1355156016427,65.28333333333333
