Month,Unemployment Rate,Avg Person Savings,Avg Firm Savings,Avg Price,Avg Inventory,Avg Wage,Price_SMA,Stock_SMA
1,0.0,66328.29285610889,250559.76096928754,124.41988444978479,350.0,990.0,,
2,0.0,65236.001669957295,305174.32027686737,124.41988444978479,13.2,998.9100000000001,,
3,0.0,64968.795447340824,318534.63140769,126.90828213878049,14.4,1008.8991,,
4,0.0,64705.41486654369,331703.66044754745,129.44644778155612,23.0,1018.9880909999999,,
5,0.0,64406.60910578656,346643.948485404,132.03537673718725,24.0,1029.17797191,,
6,0.0,64058.777192261135,364035.5441616762,134.676084271931,12.8,1039.4697516290998,,
7,0.0,63736.007515379366,380174.02800576575,137.3696059573696,17.0,1049.864449145391,,
8,0.0,63386.58038173669,397645.3846878995,140.116998076517,17.7,1060.363093636845,,
9,0.0,63033.95882713347,415276.46241806,142.91933803804736,23.4,1070.9667245732132,,
10,0.0,62627.52917547567,435597.9450009487,145.7777247988083,16.7,1081.6763918189454,,
11,0.0,62230.81122229478,455433.84265999263,148.69327929478447,19.6,1092.4931557371349,,
12,0.0,61798.96295210749,477026.25616935856,151.66714488068015,17.1,1103.418087294506,136.5375042396026,45.74166666666667
13,0.0,61374.471536031226,498250.8269731719,154.70048777829376,23.3,1114.4522681674512,139.06088785031167,18.516666666666666
14,0.0,60881.856280380794,522881.58975569333,157.79449753385964,14.1,1125.5967908491257,141.8421056073179,18.59166666666667
15,0.0,60414.920692915526,546228.3691289563,160.95038748453683,19.4,1136.8527587576168,144.6789477194643,19.008333333333336
16,0.0,59963.836923979885,568782.5575757369,164.16939523422758,35.8,1159.692119413934,147.5725266738536,20.075
17,0.0,59418.27457274806,596060.6751373274,167.45278313891214,26.2,1183.1062928354902,150.52397720733066,20.258333333333333
18,0.0,58915.83352178147,621182.7276856583,170.8018388016904,31.9,1216.4911801050037,153.53445675147728,21.849999999999998
19,0.0,58335.61018068814,650193.8947403247,174.21787557772421,15.2,1250.8608417423152,156.60514588650682,21.7
20,0.0,57873.48837690964,673299.9849292483,177.7022330892787,32.0,1288.6368391629333,159.73724880423697,22.891666666666666
21,0.0,57336.98690190595,700125.05867943,181.2562777510643,27.3,1327.5536717056539,162.9319937803217,23.21666666666667
22,0.0,56853.97227851933,724275.7898487586,184.8814033060856,36.4,1367.6457925911648,166.19063365592814,24.858333333333334
23,0.0,56370.359406053634,748456.4334720437,188.5790313722073,44.3,1408.9486955274178,169.5144463290467,26.916666666666668
24,0.0,55849.14013865655,774517.3968418973,192.35061199965145,41.3,1451.498946132346,172.90473525562766,28.933333333333337
25,0.0,55337.01866861281,800123.4703440827,196.19762423964448,39.6,1495.3342143055427,176.3628299607402,30.291666666666668
26,0.0,54807.097712589144,826619.5181452672,200.12157672443738,32.3,1540.4933075775702,179.89008655995505,31.808333333333334
27,0.0,54378.638345486244,848042.4865004129,204.12400825892612,48.7,1587.0162054664129,183.48788829115415,34.25
28,0.0,53959.45930194147,869001.4386776539,208.20648842410463,65.6,1634.9440948714987,187.15764605697723,36.73333333333333
29,0.0,53787.377883870235,877605.5095812168,211.95420521573857,137.2,1684.319406536618,190.86609789671274,45.98333333333333
30,0.0,53838.47914710642,875050.4464194067,215.343806847283,254.3,1735.1858526140236,194.5779285671788,64.51666666666667
31,0.0,53286.55548234953,902646.629657252,216.6180305564385,225.0,1787.5884653629673,198.11127481540498,82.0
32,0.0,53126.48306021288,910650.2507640853,218.78421086200288,275.0,1841.5736370169288,201.534772963132,102.25
33,0.0,52755.2083436764,929213.9865909081,220.95039116756726,272.8,1897.18916085484,204.8426157478406,122.70833333333333
34,0.0,52582.86457309563,937831.1751199461,223.15989507924292,303.8,1954.4842735126563,208.03249006227034,144.99166666666667
35,0.0,52878.54015511848,923047.3960188035,224.48559742624835,431.1,2009.444154735124,211.02470390010708,177.225
36,0.0,52803.491142150895,926799.8466671819,226.27087658688228,467.2,2055.725619455613,213.85139261570967,212.71666666666667
37,0.0,52557.911135747854,939078.8469873338,227.17235418284594,455.6,2105.2018987145157,216.43262011097647,247.38333333333333
38,0.0,52631.74967634196,935386.9199576282,228.9753093747733,508.2,2151.662232224472,218.8370978318378,287.0416666666667
39,0.0,52488.74669374213,942537.0690876183,230.33654054467848,507.8,2194.645014146351,221.02147552231722,325.3
40,0.0,52371.7161939985,948388.5940747978,231.71580126650287,504.1,2236.2574321171824,222.98058492585037,361.8416666666667
41,0.0,52384.1683879829,947765.9843755777,232.63530841438583,520.8,2273.970810653902,224.7040101924043,393.8083333333334
42,0.0,52634.25260539704,935261.7735048704,234.01456913621027,586.6,2314.5314192978103,226.25990704981493,421.5
43,0.0,52641.074905891226,934920.6584801609,234.94327135557205,593.5,2346.415854278813,227.78701044974272,452.2083333333333
44,0.0,52651.61891289419,934393.4581300125,235.41222000099233,594.6,2383.605900296267,229.17267787799184,478.8416666666667
45,0.0,52722.365827415575,930856.1124039432,235.88116864641265,600.8,2414.2648474012667,230.41690933456223,506.175
46,0.0,52872.225162349845,923363.1456572302,236.80968696434485,618.1,2445.222830674059,231.55439199165411,532.3666666666667
47,0.0,52975.34350868725,918207.2283403594,237.74758425518544,620.9,2476.6540724931647,232.6595575607322,548.1833333333334
48,0.0,53319.915793512206,900978.6140991126,238.20696634823918,670.2,2516.0319689035423,233.65423170751194,565.1
49,0.0,53569.30681510149,888509.0630196491,238.67572366261214,691.3,2548.3040007891263,234.6128458308258,584.7416666666667
50,0.0,54093.653499567285,862291.7287963608,238.6661571102456,763.1,2581.0712437148063,235.4204164754485,605.9833333333333
51,0.0,54488.883272214305,842530.2401640099,239.1347268451604,800.8,2611.6997168298208,236.15359866715528,630.4
52,0.0,54928.14957566043,820566.9249917043,239.5939251853769,844.2,2634.8151006276303,236.81010899372814,658.7416666666667
53,0.0,55361.70044366619,798889.3815914168,240.54082253862043,884.3,2660.636288613781,237.46890183741436,689.0333333333333
54,0.0,55566.270121703696,788660.8976895425,241.49690385866825,871.8,2686.710524242196,238.09242973095252,712.8000000000001
55,0.0,55790.05605892821,777471.6008283176,241.00920484564125,857.5,2707.4930283888216,238.59792418845828,734.8000000000001
56,0.0,56024.81851488937,765733.4780302587,240.51213443791593,840.6,2726.032904550307,239.0229170582019,755.3000000000001
57,0.0,56391.893545826264,747379.7264834136,240.02443542488896,847.4,2747.369789263282,239.36818928974162,775.85
58,0.0,56641.268970086065,734910.955270423,240.0148765242336,825.2,2774.630554888363,239.63528841973235,793.1083333333332
59,0.0,56910.18937592955,721464.9349782488,240.49243897143782,798.8,2793.542376252387,239.86402631275337,807.9333333333334
60,0.0,57715.9499322759,681176.9071609313,240.48229865549592,882.1,2812.603987474834,240.05363733835807,825.5916666666667
61,0.0,58142.46338778775,659851.2343853381,240.95067713589577,880.6,2806.5249058281356,240.24321679446507,841.3666666666667
62,0.0,58688.2703644522,632560.8855521157,240.93194184361496,906.4,2811.47097260209,240.43203218891253,853.3083333333334
63,0.0,58999.17280115638,617015.7637169061,240.91319897615531,883.2,2805.5078285507343,240.58023819982876,860.1750000000001
64,0.0,59232.14269893014,605367.2688282187,240.41652239816648,844.7,2799.8276699243934,240.64878796756122,860.2166666666667
65,0.0,59669.82098678977,583483.3544352368,240.88433109464617,850.4,2799.7986956210398,240.67741368056338,857.3916666666668
66,0.0,59999.365746658186,567006.1164418154,241.35194868958402,833.9,2785.725812219366,240.66533408313967,854.2333333333332
67,0.0,60431.30181667787,545409.312940831,241.34200353131035,841.9,2777.385929981698,240.69306730694544,852.9333333333333
68,0.0,60585.156131040916,537716.597222679,241.81058466499485,794.1,2760.358328414818,240.80127149253534,849.0583333333333
69,0.0,61032.271719014694,515360.8178239899,241.81058466499485,811.3,2738.1297673382205,240.95011726254418,846.0500000000001
70,0.0,61243.47738843789,504800.53435282933,241.79185717283818,783.8,2731.9731955496945,241.09819898326123,842.6
71,0.0,61577.25030792472,488111.8883784873,242.2604309669388,783.2,2718.3713511356696,241.24553164955296,841.3000000000001
72,0.0,61844.1058398434,474769.11178255256,242.73780261860838,769.9,2696.721696640286,241.4334903131457,831.9499999999999
73,0.0,62409.450579626944,446501.87479337445,243.71203063515972,827.1,2680.8779166469894,241.66360310475102,827.4916666666668
74,0.0,63061.27290999801,413910.75827482145,243.673041706893,907.0,2659.17361836357,241.89202809335754,827.5416666666666
75,0.0,63167.53298203028,408597.75467320817,243.6629051350125,875.2,2640.4448767766,242.12117027326227,826.875
76,0.0,63475.428014398385,393203.00305480254,243.6535374888721,890.0,2621.1751264838686,242.3909215308211,830.65
77,0.0,63715.214055877586,381213.7009808417,243.61514197868996,897.8,2594.6516302240634,242.61848910449137,834.6
78,0.0,63579.377425222345,388005.5325136042,243.10834084391527,831.3,2571.332870415915,242.76485511735234,834.3833333333333
79,0.0,63871.53658297662,373397.57462588925,243.10834084391527,859.9,2545.619541711755,242.91204989340272,835.8833333333333
80,0.0,64177.50844068504,358098.98174046876,243.57557646506058,896.6,2525.0720585545464,243.05913254340825,844.4250000000001
81,0.0,63963.64703083518,368792.0522329613,244.04300715957226,831.0,2510.390203120235,243.24516775128964,846.0666666666666
82,0.0,64029.79220330813,365484.79360931355,243.5556982277238,825.3,2487.619158453507,243.39215450586346,849.525
83,0.0,63908.47848501267,371550.4795240861,243.5465292522146,784.9,2465.221375689,243.49932936296977,849.6666666666666
84,0.0,64072.81699296533,363333.55412645254,243.52743445950023,811.2,2440.3283112589484,243.56513201637745,853.1083333333332
85,0.0,63800.16289714701,376966.2589173684,243.50737307653048,751.7,2415.3407405944135,243.548077219825,846.8249999999999
86,0.0,63804.40994402445,376753.90657349676,243.50717823092714,752.4,2390.9518259800752,243.53425526349452,833.9416666666666
87,0.0,63803.76008651748,376786.39944884455,243.0101192204103,755.4,2379.062395292277,243.47985643727768,823.9583333333334
88,0.0,63910.13436023012,371467.68576321204,243.47776035441547,785.6,2369.9370348963303,243.4652083427396,815.2583333333333
89,0.0,63955.61255431164,369193.7760591366,242.97155155342543,804.9,2361.4363583483237,243.41157580730092,807.5166666666665
90,0.0,63577.2835136596,388110.22809173877,242.96258101317147,738.0,2338.003429333233,243.3994291547389,799.7416666666667
91,0.0,63489.84933332229,392481.937108604,242.46572464676083,735.6,2327.5828349524727,243.34587780497603,789.3833333333333
92,0.0,63278.232525409745,403062.77750423143,242.9327893478809,710.5,2322.163437357366,243.29231221187774,773.875
93,0.0,63419.12374058827,396018.2167453049,243.89649983254918,762.5,2317.0752556331545,243.28010326795916,768.1666666666666
94,0.0,63027.37908353175,415605.44959813065,243.88616927297875,699.3,2321.602187162608,243.3076425217304,757.6666666666666
95,0.0,63235.10586285845,405219.1106317959,244.3635565793871,760.3,2316.8528332106534,243.37572813232813,755.6166666666667
96,0.0,63489.75955262149,392486.4261436442,244.83196852758633,833.1,2319.2600689626656,243.4844393046686,757.4416666666667
97,0.0,63335.672917552045,400190.75789711624,245.29045565621573,824.8,2319.573308365977,243.63302951964238,763.5333333333333
98,0.0,63365.36800146339,398706.00370154966,244.77414253603675,853.5,2315.310795786075,243.7386098784015,771.9583333333334
99,0.0,63222.28291089874,405860.258229782,245.26008863914285,848.2,2310.75981290339,243.92610732996255,779.6916666666667
100,0.0,63432.29216649898,395359.7954497702,245.72676396074695,919.3,2314.7851655634854,244.11352429715689,790.8333333333334
101,0.0,63036.580622889946,415145.37263022235,245.7160520507652,861.6,2310.179964042089,244.34223267193514,795.5583333333334
102,0.0,62967.30591316601,418609.1081164187,244.72313396708947,871.2,2296.4506860332654,244.488945418095,806.6583333333333
103,0.0,62787.174125968144,427615.6974763122,245.19992528908534,859.4,2297.7667485291286,244.71679547162205,816.975
104,0.0,62936.8517081822,420131.81836560945,245.667787818027,917.3,2302.0974453413455,244.94471201080088,834.2083333333334
105,0.0,62553.28828827439,439309.9893609996,245.1623693140437,861.7,2302.7782641463455,245.05020113425874,842.475
106,0.0,62356.239214415604,449162.44305393926,244.66649831632952,842.9,2298.9501968637824,245.115228554538,854.4416666666667
107,0.0,62530.089858042455,440469.91087259667,245.1322089062302,904.4,2303.467091513535,245.17928291510825,866.4499999999999
108,0.0,62421.568062031336,445896.0006731526,245.60823369558688,904.8,2298.7663409159204,245.24397167910828,872.4249999999998
109,0.0,62474.59345153968,443244.7311977352,245.0921347340825,940.6,2302.8705219624953,245.22744493559722,882.0749999999999
110,0.0,62408.42910105579,446552.94872193004,245.06295049648097,951.7,2307.1187038118956,245.25151226563423,890.2583333333333
111,0.0,62050.56469701992,464446.1689237238,244.07162410027246,898.1,2317.7848747264675,245.1524735540617,894.4166666666666
112,0.0,62196.87989864808,457130.408842316,244.07162410027246,946.9,2319.973058209053,245.01454523235546,896.7166666666667
113,0.0,62117.984524485604,461075.1775504396,243.55552903237634,947.8,2324.1743231424844,244.83450164748976,903.9
114,0.0,61779.37182040116,478005.8127546618,242.57293784302246,888.7,2326.5555237479225,244.6553186371508,905.3583333333335
115,0.0,61819.99625345602,475974.5911019196,242.56397806311156,908.9,2330.9139962026493,244.43565636831968,909.4833333333332
116,0.0,61555.604099233286,489194.19881305646,243.03068070053467,864.7,2332.8338799498,244.21589744186198,905.1
117,0.0,61534.55911895178,490246.4478271318,242.52511372488453,870.7,2334.9831499529446,243.9961261427654,905.8499999999999
118,0.0,61308.78590231762,501535.10865883983,242.48738485412872,834.4,2351.5553312141305,243.81453335424862,905.1416666666665
119,0.0,61310.49393845459,501449.7068519917,242.4860234268727,839.9,2353.4304192650256,243.59401789763555,899.7666666666668
120,0.0,61109.073329995015,511520.7372749702,242.4650689730882,801.1,2355.0234990515505,243.33208750409395,891.125
121,0.0,61429.64343418635,495492.2320654031,242.45457704668542,872.9,2375.759313340536,243.1122910301442,885.4833333333335
122,0.0,61329.75304515976,500486.7515167319,241.92195388219594,853.4,2389.8363516618483,242.8505413122871,877.2916666666666
123,0.0,61196.91757828421,507128.52486051025,242.3800927346653,825.5,2392.7655992978534,242.7095803651532,871.2416666666667
124,0.0,61041.60238753524,514894.2843979584,242.37039308415515,790.5,2403.054378639082,242.56781111381008,858.2083333333334
125,0.0,61153.938275293265,509277.49001005647,241.87435072676786,810.4,2403.0921195539768,242.42771292167603,846.7583333333333
126,0.0,61292.572867992465,502345.76037509565,241.85569762741096,836.4,2402.1197977299007,242.36794290370844,842.4
127,0.0,61437.6561016625,495091.59869159374,241.82579428149907,864.6,2410.544363736925,242.30642758857402,838.7083333333334
128,0.0,61272.68633765569,503340.08689193416,241.80655873255455,824.8,2404.896423038076,242.2044174245757,835.3833333333332
129,0.0,61342.98380632098,499825.2134586702,241.79646325563175,837.1,2404.9948409554195,242.14369655213795,832.5833333333334
130,0.0,61258.623656618154,504043.2209438109,242.25383991105429,818.6,2418.295823839232,242.12423447354846,831.2666666666668
131,0.0,61408.975847212285,496525.611414105,241.76828264242653,844.3,2421.658238102388,242.06442274151127,831.6333333333332
132,0.0,61297.71877774504,502088.46488746704,242.24374831703707,815.4,2416.6365352244175,242.04597935350702,832.8250000000002
133,0.0,61434.736177200306,495237.59491470316,242.6996011135997,841.5,2415.931507503844,242.06639802574986,830.2083333333334
134,0.0,61373.66999099608,498290.9042249139,242.6794169914931,826.2,2420.209956866426,242.1295199515246,827.9416666666666
135,0.0,61260.97899094903,503925.45422726637,242.66988863653023,798.3,2419.6683352000637,242.15366961001337,825.6749999999998
136,0.0,61158.42667751775,509053.06989883026,242.6516318968087,775.2,2419.7083604540458,242.1771061777345,824.4
137,0.0,61318.22841625139,501062.9829621481,243.11796558809542,809.5,2417.427467243007,242.28074074951178,824.3249999999999
138,0.0,61249.002026037604,504524.30247283756,243.60274658620293,797.5,2408.135247579816,242.42632816274443,821.0833333333334
139,0.0,61239.44980889279,505001.9133300784,244.08752758431038,799.7,2410.496104507132,242.61480593797873,815.6750000000001
140,0.0,61176.98297301104,508125.2551241649,244.5713374674145,787.6,2417.304356358275,242.84520416588373,812.5750000000002
141,0.0,61285.66433158983,502691.18719522643,245.0382570861139,811.9,2445.28926038163,243.11535365175723,810.475
142,0.0,61403.672875187796,496790.76001532824,245.515283917374,832.4,2444.8584224470046,243.38714065228385,811.625
143,0.0,61400.308545848195,496958.97648230905,245.49647162181273,828.0,2448.8462490911957,243.6978230672327,810.2666666666668
144,0.0,61218.30298195973,506059.25467673334,246.4753375349434,788.7,2446.4978145957125,244.0504555020582,808.0416666666666
145,0.0,61285.63231045289,502692.78825207485,246.46386425207635,800.8,2448.2745278687808,244.36414409693134,804.65
