Month,Active Event,Unemployment Rate,Avg Person Savings,Avg Firm Savings,Avg Price,Avg Inventory,Avg Wage,Price_SMA,Stock_SMA
1,None,0.0,39079.40919634416,166215.47078449535,115.2666003958174,400.0,990.0,,
2,None,0.0,38412.96821002406,199537.52010050055,115.95819999819233,181.6,996.93,,
3,None,0.0,37891.58916269185,225606.47246711078,117.57193240373377,36.1,1005.8994,,
4,None,0.0,37639.392151842585,238216.32300957356,119.92337105180843,11.8,1015.958394,,
5,None,0.0,37445.49110928005,247911.3751377004,122.32183847284459,17.5,1026.11797794,,
6,None,0.0,37230.571295926886,258657.3658053584,124.7682752423015,20.4,1036.3791577194,,
7,None,0.0,37008.98816824193,269736.52218960604,127.26364074714755,26.4,1046.742949296594,,
8,None,0.0,36740.16333318378,283177.7639425141,129.80891356209048,19.9,1057.2103787895599,,
9,None,0.0,36486.21858813654,295875.0011948759,132.4050918333323,25.0,1067.7824825774555,,
10,None,0.0,36186.10691787975,310880.58470771514,135.05319366999896,18.8,1078.46030740323,,
11,None,0.0,35898.24973967735,325273.44361783453,137.75425754339895,23.1,1089.2449104772622,,
12,None,0.0,35578.963042274474,341237.77848797844,140.50934269426693,22.1,1100.1373595820348,126.55038813457777,66.89166666666667
13,None,0.0,35238.10485587317,358280.68780804495,143.31952954815227,19.6,1111.1387331778553,128.88813223060566,35.19166666666667
14,None,0.0,34911.59537731887,374606.16173575993,146.18592013911532,28.1,1122.2501205096337,131.40710890901593,22.400000000000002
15,None,0.0,34519.139205141764,394228.97034461476,149.10963854189762,20.4,1133.4726217147302,134.03525108719626,21.09166666666667
16,None,0.0,34145.94502003617,412888.6795998943,152.0918313127356,25.3,1144.8073479318775,136.7159561089402,22.21666666666667
17,None,0.0,33736.89405646963,433341.22777822084,155.1336679389903,24.7,1156.2554214111963,139.45027523111898,22.816666666666666
18,None,0.0,33322.778343832775,454047.01341006364,158.2363412977701,28.7,1167.817975625308,142.23928073574137,23.50833333333333
19,None,0.0,32846.214547028154,477875.20325029566,161.4010681237255,19.5,1179.4961553815613,145.0840663504562,22.933333333333334
20,None,0.0,32425.165183178324,498927.6714427867,164.62908948620003,33.6,1191.291116935377,147.98574767746533,24.075
21,None,0.0,31949.986493175995,522686.6059429025,167.92167127592404,37.6,1203.2040281047307,150.94546263101464,25.125
22,None,0.0,31418.114484914575,549280.2063559724,171.28010470144253,31.3,1220.043861181181,153.96437188363493,26.166666666666668
23,None,0.0,30952.617497938536,572555.0557047753,174.70570679547137,48.9,1239.6374239727047,157.04365932130764,28.316666666666663
24,None,0.0,30406.98614115386,599836.6235440077,178.1998209313808,47.7,1267.117743071361,160.1845325077338,30.45
25,None,0.0,29903.047502122565,625033.5554955734,181.76381735000842,59.9,1297.8424750998365,163.38822315788846,33.80833333333333
26,None,0.0,29405.23245515146,649924.3078441302,185.3990936970086,74.7,1334.4981024977174,166.65598762104625,37.69166666666667
27,None,0.0,28924.966180594223,673937.6215719914,189.10707557094878,93.8,1374.7999451931485,169.98910737346716,43.80833333333333
28,None,0.0,28718.34656066131,684268.6025686386,192.13278878008396,179.7,1416.3189035379814,173.32585382907953,56.67499999999999
29,None,0.0,28381.761557603466,701097.8527215301,194.04655238486197,224.3,1459.0917344248287,176.56859419956882,73.30833333333334
30,None,0.0,28153.507777069754,712510.5417482152,196.36122298985038,292.7,1500.3522561485672,179.74566767390888,95.30833333333334
31,None,0.0,27754.908509388413,732440.505132282,197.9274834325592,308.9,1545.662894284254,182.78953561631167,119.425
32,None,0.0,27518.076266183132,744282.1172925461,200.28844744964738,361.7,1592.3419136916384,185.7611487799323,146.76666666666668
33,None,0.0,27388.903353120775,750740.7629456648,202.28739698411536,431.6,1640.4306394851258,188.62495925561493,179.6
34,None,0.0,27169.754265127867,761698.2173453107,203.49148863283034,469.8,1689.9716447975766,191.3092412498972,216.14166666666668
35,None,0.0,27176.739488946132,761348.9561543998,204.29421639864034,555.8,1735.7932652266427,193.7749503834946,258.3833333333334
36,None,0.0,27022.592337883623,769056.3137075285,205.1049714421084,592.7,1781.0624038927442,196.0170462593886,303.8
37,None,0.0,26889.50262726838,775710.7992382932,205.5143626026715,623.7,1827.4861040441597,197.99625836377717,350.78333333333336
38,None,0.0,26805.1266424198,779929.5984807245,205.92375376323463,655.4,1871.3706432955041,199.70664670262934,399.175
39,None,0.0,26816.79871249735,779345.9949768484,206.32495710058643,700.2,1906.9159350123766,201.14147016343247,449.7083333333333
40,None,0.0,26807.632242970023,779804.3184532153,206.72616043793823,732.0,1946.8077145029463,202.35758446825366,495.73333333333335
41,None,0.0,26887.218237280293,775825.0187377029,207.13538784203712,776.5,1983.4646964393892,203.44832075635165,541.75
