Month,Active Event,Unemployment Rate,Avg Person Savings,Avg Firm Savings,Avg Price,Avg Inventory,Avg Wage,Price_SMA,Stock_SMA
1,None,0.0,43990.29639451378,151069.20289141888,101.66148961192901,450.0,990.0,,
2,None,0.0,43209.963214411655,190085.8618965257,101.66148961192901,79.3,993.96,,
3,None,0.0,43074.01345550443,196883.34984188713,103.49139642494374,33.0,1003.8996000000001,,
4,None,0.0,43003.970556839646,200385.49477512582,105.56122435344261,24.5,1013.938596,,
5,None,0.0,42933.967982785754,203885.62347782007,107.67244884051146,21.3,1024.0779819599998,,
6,None,0.0,42882.41555205244,206463.24501448593,109.8258978173217,31.7,1034.3187617795998,,
7,None,0.0,42762.710681325465,212448.4885508342,112.02241577366813,16.8,1044.661949397396,,
8,None,0.0,42700.377294074344,215565.15791339093,114.2628640891415,32.5,1055.10856889137,,
9,None,0.0,42577.329216410726,221717.5617965712,116.54812137092433,27.2,1065.6596545802836,,
10,None,0.0,42439.598898197044,228604.07770725517,118.87908379834282,21.2,1076.3162511260866,,
11,None,0.0,42314.025742235644,234882.7355053252,121.25666547430967,25.7,1087.0794136373474,,
12,None,0.0,42150.30266799818,243068.88921719807,123.68179878379587,20.2,1097.9502077737209,111.37707466252165,65.28333333333333
13,None,0.0,42043.023870304736,248432.8291018703,126.15543475947179,42.6,1108.929709851458,113.41823675815021,31.333333333333332
14,None,0.0,41904.627165775935,255352.66432831,128.67854345466122,58.0,1112.2101094911582,115.66965791171124,29.558333333333334
15,None,0.0,41707.2649536746,265220.77493337635,131.25211432375445,59.1,1113.3033551353922,117.98305106994546,31.73333333333333
16,None,0.0,41586.643239945806,271251.8606198154,133.61413665618193,96.7,1118.8587163432708,120.32079376184039,37.75
17,None,0.0,41611.434781874574,270012.2835233766,136.01813903617702,193.3,1123.3318759190358,122.6829346114792,52.083333333333336
18,None,0.0,41244.94252315496,288336.8964593573,137.37027201594495,148.9,1125.5851879430588,124.97829912803114,61.85
19,None,0.0,40866.138034452415,307277.120894484,139.55943969747395,109.9,1132.2891219380685,127.27305112168163,69.60833333333333
20,None,0.0,40664.13057250733,317377.49399173807,141.79239073263355,137.6,1140.2322141282666,129.56717834197264,78.36666666666666
21,None,0.0,40787.48440000723,311209.80261674296,144.05883603332052,282.1,1150.4737994963607,131.8597378971723,99.60833333333335
22,None,0.0,40222.67263726792,339450.3907537084,145.19764106125191,191.2,1155.0597418176085,134.05295100241474,113.77499999999999
23,None,0.0,39920.83436853093,354542.30419055826,146.64961747186445,190.5,1166.6103392357845,136.1690303355443,127.50833333333333
24,None,0.0,39411.08491179675,380029.77702726744,148.10159388247695,124.3,1177.0923750458128,138.20401326043438,136.1833333333333
25,None,0.0,39126.79746218343,394244.1495079327,150.4712193845966,136.6,1188.8632987962708,140.23032864586148,144.01666666666668
26,None,0.0,39066.88851329056,397239.5969525761,152.2721347662075,223.4,1200.7519317842334,142.19646125515698,157.79999999999998
27,None,0.0,38528.902010856815,424138.9220742624,154.084898275329,159.0,1211.5514629625272,144.09919325112153,166.125
28,None,0.0,38465.23697428462,427322.17390287144,155.93391705463296,246.9,1223.6669775921525,145.95917495099243,178.64166666666665
29,None,0.0,37997.84370803607,450691.8372152986,157.1665962408356,208.7,1235.903647368074,147.721546384714,179.92499999999998
30,None,0.0,37730.67774397612,464050.1354182952,158.73826220324395,231.4,1248.262683841755,149.50221223365557,186.79999999999998
31,None,0.0,37493.260320014866,475921.00661635806,159.99559497317063,266.1,1260.7453106801725,151.20522517329695,199.8166666666667
32,None,0.0,37203.4201508406,490413.01507507154,161.59240759097753,282.7,1273.3527637869743,152.85522657815895,211.90833333333333
33,None,0.0,37063.48387358438,497409.82893788285,162.87488701630275,347.1,1284.791164635508,154.42323082674082,217.32500000000002
34,None,0.0,36663.768709635966,517395.5871353036,164.49722348933915,331.9,1297.664590279613,156.03152936241477,229.04999999999998
35,None,0.0,36388.419715997894,531163.0368172071,165.47832024971294,352.5,1317.3248492040068,157.60058792723547,242.54999999999998
36,None,0.0,36031.09747939199,549029.1486475024,166.78644926354468,349.9,1337.0895030269457,159.1576592089911,261.35
37,None,0.0,35654.73884859243,567847.0801874824,168.12074085765303,335.7,1362.7610298859663,160.62845266507915,277.94166666666666
38,None,0.0,35586.77532533522,571245.2563503445,169.45503245176138,410.7,1387.6333974514478,162.06036080554196,293.55
39,None,0.0,35255.23458495195,587822.2933695082,170.4624226053132,404.0,1407.227058803698,163.4251544997073,313.96666666666664
40,None,0.0,34925.224552721345,604322.7949810389,171.82340003130372,392.7,1441.394563938866,164.74927808109655,326.1166666666667
41,None,0.0,34865.6981564057,607299.1147968217,172.16364438780138,451.5,1477.6865747077268,165.9990320933437,346.34999999999997
42,None,0.0,34648.739240128445,618147.0606106839,173.5246218137919,461.1,1501.6182294203527,167.23122872755604,365.4916666666666
43,None,0.0,34418.246026296605,629671.7213022753,175.2598680319298,460.3,1530.7444465496885,168.5032514824526,381.67499999999995
44,None,0.0,34435.625270111945,628802.7591115079,175.6069172755574,522.9,1570.9797743830172,169.67112728950096,401.69166666666666
45,None,0.0,34376.84643323151,631741.7009555296,176.99511425006773,559.5,1602.0515322836343,170.8478128923147,419.39166666666665
