Month,Active Event,Unemployment Rate,Avg Person Savings,Avg Firm Savings,Avg Price,Avg Inventory,Avg Wage,Price_SMA,Stock_SMA
1,None,0.0,53247.313513196896,206744.96747064014,131.40638376781487,550.0,990.0,,
2,None,0.0,51890.65831187126,274577.7275369219,131.40638376781487,157.1,996.93,,
3,None,0.0,51466.09234061645,295806.0260996622,133.24607314056428,121.3,1006.8993,,
4,None,0.0,51306.93712165135,303763.7870479174,135.10678753471655,187.2,1016.9682929999999,,
5,None,0.0,50528.86738668757,342667.27379610593,136.7152016720346,31.0,1027.1379759299998,,
6,None,0.0,50116.64866332769,363278.2099641005,139.4495057054753,15.2,1037.4093556893,,
7,None,0.0,49750.213941836075,381599.9460386819,142.2384958195848,22.0,1047.783449246193,,
8,None,0.0,49372.468131594294,400487.23655077117,145.0832657359765,31.0,1058.2612837386548,,
9,None,0.0,48985.28081255575,419846.60250269715,147.98493105069605,42.9,1068.8438965760415,,
10,None,0.0,48476.83109392156,445269.08843440627,150.94462967170998,20.7,1079.5323355418018,,
11,None,0.0,48058.38595700902,466191.34528003336,153.96352226514418,34.5,1090.3276588972199,,
12,None,0.0,47545.71850090669,491824.7180851508,157.04279271044706,24.4,1101.230935486192,142.04899773683158,103.10833333333333
13,None,0.0,47088.47064854492,514687.1107032397,160.183648564656,38.2,1112.243244841054,144.44710313656833,60.458333333333336
14,None,0.0,46557.80979285239,541220.1534878659,163.38732153594913,35.7,1125.5744797135292,147.11218128391286,50.34166666666666
15,None,0.0,46007.53837357103,568733.7244519342,166.6550679666681,33.0,1145.9110753476148,149.8962641860882,42.98333333333333
16,None,0.0,45527.95105953147,592713.0901539116,169.98816932600147,54.5,1169.0239971649498,152.8030460020286,31.925
17,None,0.0,45022.81142620455,617970.0718202594,173.3879327125215,70.9,1199.6851104454333,155.85910692206917,35.25
18,None,0.0,44577.30879026115,640245.2036174311,176.50891550134688,102.8,1235.9156007808856,158.94739107172515,42.550000000000004
19,None,0.0,44133.65034572686,662428.1258441458,179.68538242864028,133.0,1273.2402519244683,162.0679649558131,51.800000000000004
20,None,0.0,44036.28007358661,667296.6394511583,182.55751885643667,254.1,1311.6921075325874,165.1908193825181,70.39166666666667
21,None,0.0,43368.562847170426,700682.5007719684,184.00066129798952,215.1,1351.3052091800714,168.19213023645923,84.74166666666667
22,None,0.0,43082.29438791572,714995.9237347029,185.84066791096942,269.9,1392.11462649731,171.1001334230642,105.50833333333333
23,None,0.0,42566.68856760873,740776.2147500514,187.6806745239493,260.5,1434.1564882175285,173.90989611129794,124.34166666666665
24,None,0.0,42084.45812101072,764887.7370799524,190.30820396728458,251.9,1477.468014161698,176.6820137160344,143.29999999999998
25,None,0.0,41803.371978186005,778942.0442211865,229.73015428969111,289.7,1522.0875481893813,182.47755585978734,164.25833333333333
26,None,0.0,41286.17906189251,804801.6900358602,230.64003019978318,344.8,1568.0545921447006,188.08194824844017,190.01666666666665
27,None,0.0,41188.63326550836,809678.9798550678,232.93724165595637,483.9,1613.8621961559813,193.60546272254751,227.59166666666667
28,None,0.0,40915.687350210115,823326.2756199808,233.85612623842562,577.9,1654.6873303321859,198.92779246524955,271.2083333333333
29,None,0.0,40570.62685806345,840579.300227317,235.25283080377886,649.8,1695.0479474052536,204.08320063952098,319.45
30,None,0.0,40281.3850995672,855041.3881521311,236.19009307789753,725.0,1742.9484869660366,209.0566321042335,371.3
31,None,0.0,40047.41104732078,866740.0907644534,236.65872421495683,802.2,1791.9580104693607,213.8044105864266,427.06666666666666
32,None,0.0,39921.58563905286,873031.3611778496,236.64935159221562,892.0,1836.7322206217036,218.31206331440816,480.22499999999997
33,None,0.0,39797.946272871726,879213.3294869056,236.6399789694745,972.7,1880.8776915624912,222.69867312036524,543.3583333333333
34,None,0.0,39717.351423376866,883243.0719616469,235.21534031281413,1049.9,1922.2223934409863,226.8132291538523,608.3583333333333
35,None,0.0,39675.17682428822,885351.8019160783,234.73733655301362,1126.1,1966.5087734610838,230.73461765627437,680.4916666666667
