Month,Active Event,Unemployment Rate,Avg Person Savings,Avg Firm Savings,Avg Price,Avg Inventory,Avg Wage,Price_SMA,Stock_SMA
1,None,0.0,55644.75740115225,217210.0351671861,148.521391014963,700.0,990.0,,
2,None,0.0,54267.9205139378,286051.87952790846,148.521391014963,403.2,996.93,,
3,None,0.0,53028.73233638058,348011.28840576846,148.8184337969929,150.6,1006.8993,,
4,None,0.0,52521.5296071035,373371.42486962257,150.8977332712024,147.3,1016.9682929999999,,
5,None,0.0,52173.63743498066,390766.03347576363,152.70375338594437,197.5,1027.1379759299998,,
6,None,0.0,51395.06183589026,429694.81343028444,154.5216552119675,113.4,1037.4093556893,,
7,None,0.0,50930.73288157,452911.2611462985,156.994001695359,133.8,1047.783449246193,,
8,None,0.0,50687.32832136053,465081.4891567724,159.18820919936894,225.8,1058.2612837386548,,
9,None,0.0,49905.836144084555,504156.0980205711,160.76433008253102,153.8,1068.8438965760415,,
10,None,0.0,49505.848807910086,524155.46482929355,162.6935020435214,199.5,1081.654951256174,,
11,None,0.0,48819.40563584278,558477.6234326598,164.30757591755,160.4,1096.8241494169647,,
12,None,0.0,48436.91097785629,577602.3563319843,166.2753313177602,213.0,1125.5301920765626,156.18394232934364,233.1916666666667
13,None,0.0,47611.60612877124,618867.5987862378,167.59372743590103,129.5,1155.014354486759,157.77330369775515,185.65
14,None,0.0,47177.410541086705,640577.378170464,170.26987478018685,161.7,1185.297900244055,159.58567734485715,165.525
15,None,0.0,46916.214580593376,653637.1761951296,172.65164591660127,238.8,1216.450030205739,161.5717783548245,172.875
16,None,0.0,46281.163095755925,685389.7504370015,174.3645140243114,205.6,1250.8881025863197,163.52734341758358,177.73333333333335
17,None,0.0,46048.76688455568,697009.5609970137,176.10467883493328,279.7,1286.3432175674777,165.47742053833267,184.58333333333334
18,None,0.0,45434.334886794895,727731.1608850531,177.4968106834308,242.5,1322.8458599638973,167.39201682762126,195.34166666666667
19,None,0.0,45058.85194953221,746505.3077481876,179.2717787902651,263.0,1362.795804934807,169.24849825219678,206.10833333333332
20,None,0.0,44592.299192141254,769832.9456177356,181.0467468970994,255.7,1403.9522382438383,171.07004306034096,208.60000000000002
21,None,0.0,44169.99146895742,790948.3317769269,182.85721436607042,250.4,1446.3515958388023,172.9111167506359,216.64999999999998
22,None,0.0,43956.56241801782,801619.7843239082,184.3055883412472,297.2,1490.0314140331343,174.71212394211307,224.79166666666666
23,None,0.0,43639.29400047295,817483.20520115,186.14502328972173,305.9,1535.0303627369349,176.5319112231274,236.91666666666666
24,None,0.0,43539.97510271273,822449.1500891609,187.253029380732,364.6,1581.3882796915902,178.28005272837504,249.54999999999998
25,None,0.0,43202.0628529244,839344.7625785783,188.36103547174224,352.8,1627.5039938329019,180.0106617313618,268.1583333333333
26,None,0.0,42871.0914513921,855893.332655194,189.8679237555162,331.0,1676.6546144466556,181.64383247930593,282.26666666666665
27,None,0.0,43039.263013194715,847484.7545650633,190.99808996834662,431.1,1723.7868739683113,183.17270281695139,298.2916666666667
28,None,0.0,42857.07736623003,856594.0369132974,192.12825618117708,432.7,1766.9041746742218,184.65301466335686,317.21666666666664
29,None,0.0,42642.67947927946,867313.9312608263,193.6652822306265,415.3,1812.9203884770018,186.11639827966462,328.5166666666667
30,None,0.0,42753.65514838182,861765.1478057088,194.81805176771357,473.1,1856.4428909376281,187.55983503668816,347.73333333333335
31,None,0.0,42720.395493453245,863428.1305521384,195.58656479243828,486.7,1901.0544755950152,188.91940053686926,366.375
32,None,0.0,42735.96341090309,862649.7346796475,196.75470459001983,503.8,1936.890469462384,190.22839701127933,387.05
33,None,0.0,42690.08885807412,864943.4623210967,197.93052951784864,496.8,1969.3324611511969,191.48450660726084,407.5833333333333
34,None,0.0,43083.700359533555,845262.8872481255,198.71441280306786,596.0,2002.611887028656,192.68524197907922,432.48333333333335
35,None,0.0,43106.48217437564,844123.7965060219,199.49045725543485,595.8,2036.137356809833,193.797361476222,456.6416666666667
36,None,0.0,43415.755242179584,828660.1431158243,199.89023773089664,658.0,2070.3903272741927,194.85046217206903,481.0916666666667
37,None,0.0,43743.16785200656,812289.5126244758,200.681803072311,718.3,2094.8486209222624,195.87719280544977,511.54999999999995
38,None,0.0,44046.285391801415,797133.6356347341,201.07342802607337,766.2,2121.688084081129,196.8109848279962,547.8166666666666
39,None,0.0,44268.803800522684,786007.7151986724,200.65749641940292,788.2,2151.1216711564484,197.6159353655842,577.575
40,None,0.0,44493.62113787225,774766.8483311941,201.04928128535548,805.4,2176.6199809017385,198.3593541242657,608.6333333333333
41,None,0.0,44882.42705332971,755326.5525583213,201.8485224118987,857.7,2198.3138885545754,199.04129080603843,645.5
42,None,0.0,45004.93269703658,749201.2703729775,201.0251409411252,836.5,2213.547060833618,199.55854823715606,675.7833333333333
43,None,0.0,45242.715142076406,737312.1481209856,201.0251409411252,840.0,2235.239822029788,200.0117629162133,705.225
44,None,0.0,45852.96016099254,706799.8971751792,201.01698868163444,931.3,2252.687223333215,200.36695325718117,740.85
45,None,0.0,46001.117889467256,699392.0107514437,201.4084569854153,902.9,2265.6943181038287,200.6567805461451,774.6916666666667
46,None,0.0,46364.677097641914,681214.0503427105,201.00084401087827,925.1,2281.413625677646,200.84731648012928,802.1166666666668
47,None,0.0,46530.63634267413,672916.0880910994,201.00052425046277,890.8,2290.3103316626916,200.9731553963816,826.6999999999999
48,None,0.0,46966.39145428957,651128.3325103277,199.78584391630653,920.5,2299.244270044217,200.9644559118324,848.5749999999999
49,None,0.0,47136.403437526584,642627.7333484765,199.7783278514988,880.7,2303.632361276892,200.8891663100981,862.1083333333335
50,None,0.0,47542.316603558065,622332.0750469028,199.36271926745252,898.9,2310.266442260528,200.74660724687968,873.1666666666666
51,None,0.0,47957.85950434892,601554.93000736,198.94680377478858,916.9,2314.431846959622,200.60404952649515,883.8916666666668
52,None,0.0,48113.211171927825,593787.3466284144,198.93896820532254,866.1,2314.322147569183,200.42819010315907,888.9499999999999
53,None,0.0,48495.400807585276,574677.8648455414,198.53934764205093,871.7,2321.4633538725366,200.15242553900507,890.1166666666667
54,None,0.0,48725.486494533405,563173.5804981355,198.52336614183065,836.5,2312.2875572177445,199.94394430573058,890.1166666666667
55,None,0.0,48942.31392458883,552332.2089953644,198.90669816710746,799.4,2307.4578996324135,199.76740740789572,886.7333333333335
56,None,0.0,49405.1114027749,529192.3350860609,198.89854597155602,827.2,2299.3880144668888,199.59087051538918,878.0583333333333
57,None,0.0,49919.72160522976,503461.8249633182,199.28234156052207,872.3,2289.2760027220447,199.41369422998142,875.5083333333333
58,None,0.0,50138.126184292254,492541.5960101924,199.25853996414548,846.5,2284.1533297059896,199.268502226087,868.9583333333334
59,None,0.0,50198.28889304594,489533.46057250863,199.25070740110536,779.8,2272.6147601435746,199.12268415530727,859.7083333333334
60,None,0.0,50387.19716894139,480088.04677773593,199.24303462235125,748.9,2254.426234740323,199.07745004747764,845.4083333333333
61,None,0.0,50661.300259700125,466382.89223979943,199.22706258512085,746.4,2231.88197239292,199.03151127527948,834.2166666666666
62,None,0.0,50871.13042834309,455891.3838076519,200.00154360253964,738.3,2214.056737733542,199.08474663653672,820.8333333333334
63,None,0.0,50813.72152838735,458761.8288054387,200.00090472102485,661.5,2204.5383546707358,199.17258838205643,799.5500000000001
64,None,0.0,51065.21084559145,446187.36294523365,200.00058521636655,665.9,2191.093486447359,199.26105646631012,782.8666666666667
65,None,0.0,51480.686758855365,425413.567282038,200.78337162925698,719.3,2182.3597540477413,199.44805846524392,770.1666666666666
66,None,0.0,51546.45189825539,422125.3103120367,201.95748247234894,691.9,2160.4951708509752,199.73423482612043,758.1166666666667
67,None,0.0,51672.32558867086,415831.62579126365,202.3567834031092,686.3,2141.090988258412,200.0217419291206,748.6916666666666
68,None,0.0,52095.042827305326,394695.7638595403,202.75560536439147,761.0,2119.680078375827,200.3431635451902,743.1750000000001
69,None,0.0,51984.086901516785,400243.5601489673,203.14627526559227,708.2,2107.118472365535,200.66515802061272,729.5
70,None,0.0,52027.410861161756,398077.3621667193,203.14611241597842,695.7,2096.6103927078375,200.9891223915988,716.9333333333334
71,None,0.0,52055.035044833414,396696.1529831361,203.53694823089475,683.7,2084.675455956381,201.34630912741457,708.9250000000001
72,None,0.0,52064.19082438401,396238.3640056061,204.34256520538688,671.2,2073.1326098211425,201.77127000933424,702.4499999999999
73,None,0.0,52048.37462946004,397029.17375180393,204.7257568581529,658.9,2060.0594176017794,202.22949453208687,695.1583333333333
74,None,0.0,51979.26897174686,400484.4566374628,205.53202210313663,640.3,2056.5133306703237,202.69036774046995,686.9916666666667
75,None,0.0,51932.295777388914,402833.11635536037,206.33780544479424,630.7,2043.9933302038608,203.21844280078412,684.4250000000001
76,None,0.0,51979.77208790121,400459.3008297457,206.74427183139127,647.2,2031.4367361214222,203.7804166853695,682.8666666666667
77,None,0.0,52389.24108394015,379985.85102779896,207.97312863501298,758.8,2026.773490486829,204.37956310251582,686.1583333333334
78,None,0.0,52247.996312676136,387048.0895909999,207.96432837346364,734.7,2018.3482462061772,204.8801335942754,689.725
79,None,0.0,52110.836522253805,393906.079112117,208.3792627419817,714.5,2008.0407260435422,205.38200687251478,692.0749999999999
80,None,0.0,52046.63294150544,397116.2581495352,208.76198870207253,718.4,1999.5627271117148,205.88253881732155,688.525
81,None,0.0,51946.4830587163,402123.75228899193,209.1689564635472,715.8,1995.1827457205993,206.38442891715113,689.1583333333333
82,None,0.0,51822.60484612246,408317.6629186848,209.99882546624758,709.8,1987.014492706982,206.95548833800686,690.3333333333334
83,None,0.0,51751.20143723748,411887.8333629341,211.24329025234914,720.9,1986.416022325239,207.5976835064614,693.4333333333334
84,None,0.0,51600.057646717774,419445.0228889206,211.66601536082612,711.8,1984.1865986619275,208.20797101941466,696.8166666666666
85,None,0.0,51749.26399315442,411984.7055670883,212.4960502708844,777.9,1979.8397243746258,208.85549547047563,706.7333333333332
86,None,0.0,51699.23669251994,414486.0705988125,212.90269597416432,800.4,1973.9193609275917,209.46971829306128,720.0749999999999
87,None,0.0,51714.769069466536,413709.45175148244,212.88628137106917,839.4,1966.0019413571306,210.01542462025085,737.4666666666667
88,None,0.0,51395.84626553606,429655.59194800677,213.3090067504153,801.5,1961.9856171635279,210.56248586350284,750.3249999999999
89,None,0.0,51313.13210655944,433791.2998968378,213.3003762496569,820.3,1964.0637504700383,211.00642316472317,755.4499999999999
90,None,0.0,51017.03209713644,448596.3003679874,213.2915730698117,785.4,1964.1736665905973,211.45036022275215,759.6749999999998
91,None,0.0,51060.64213182571,446415.79863352404,213.70599955863563,833.3,1969.3894267035164,211.89425495747332,769.5749999999999
92,None,0.0,51126.46545672137,443124.63238874153,214.12109996731715,886.4,1964.9071028803398,212.3408475629104,783.5749999999999
93,None,0.0,50938.74114712298,452510.8478686611,214.53621371893414,881.8,1962.5811029574095,212.7881190008593,797.4083333333333
94,None,0.0,50784.78691143318,460208.5596531513,214.0962238817261,884.7,1964.0013624121798,213.12956886881582,811.9833333333332
95,None,0.0,50535.13455185097,472691.17763226124,213.66367292267856,861.3,1963.4451618037285,213.3312674246766,823.6833333333333
96,None,0.0,50428.442405525195,478025.7849485503,213.6558923403677,873.1,1972.7737564921456,213.49709050630509,837.125
97,None,0.0,50353.05303788487,481795.25333056634,213.62999061137285,890.5,1984.3414188078725,213.5915855346791,846.5083333333333
98,None,0.0,50284.63044190476,485216.38312957186,213.1981236011443,903.1,1992.5334037761793,213.6162045035941,855.0666666666667
99,None,0.0,50620.11332513937,468442.2389678427,213.62084898049042,1011.0,2006.7762724485242,213.6774184710459,869.3666666666667
100,None,0.0,50438.6500502452,477515.4027125513,212.7329289691176,992.7,2006.6321209314476,213.62941198927106,885.2999999999998
101,None,0.0,50308.57555391088,484019.12752926786,212.30106527700914,983.0,2006.4144227985794,213.54613607488375,898.8583333333332
102,None,0.0,50077.34217034057,495580.79670778336,212.30072702904255,947.5,2008.0253120226055,213.46356557148636,912.3666666666667
103,None,0.0,50019.41135302216,498477.3375737035,211.8531290827233,956.0,2019.819768138574,213.30915969849366,922.5916666666666
104,None,0.0,49813.690053724094,508763.4025386067,211.4214379329398,923.5,2036.5139374609648,213.08418786229552,925.6833333333333
105,None,0.0,49795.59730112401,509668.040168611,210.56684913235435,929.7,2043.1556318572889,212.75340748008054,929.6750000000001
106,None,0.0,49757.303101792655,511582.75013517897,210.5421524204923,930.2,2051.539444998201,212.45723485831107,933.4666666666667
107,None,0.0,49635.10454852036,517692.67779879394,210.11908838711958,905.3,2052.6579373714385,212.16185281368118,937.1333333333333
108,None,0.0,49476.2477572652,525635.5173615516,209.27364081122113,866.9,2062.2929777056333,211.79666518625228,936.6166666666667
109,None,0.0,49585.30412180172,520182.69913472515,209.27330946080707,891.3,2074.5729261274055,211.4336084237051,936.6833333333334
110,None,0.0,49816.35123683945,508630.3433828391,209.66287374169943,944.6,2081.3143507185005,211.1390042687514,940.1416666666665
111,None,0.0,49792.10830440792,509842.49000441656,209.21528507167469,935.6,2092.5995315297073,210.77187394301674,933.8583333333332
112,None,0.0,49669.78899451641,515958.4554989922,208.79172730315355,895.7,2097.3268918408367,210.44344047085306,925.7750000000001
113,None,0.0,49758.19477445039,511538.1665022932,207.94662797872826,904.3,2100.9549963813292,210.08057069599636,919.2166666666667
114,None,0.0,50066.11396877636,496142.20678599447,207.92161575642223,966.4,2104.250731476697,209.71564475661128,920.7916666666666
115,None,0.0,50041.994946288054,497348.1579104094,208.3110108092118,948.3,2107.4195181476766,209.4204682338187,920.1500000000001
116,None,0.0,50098.767535856365,494509.5284319939,207.88067298860855,947.4,2115.3244798218802,209.12540448845775,922.1416666666668
117,None,0.0,49975.55602769978,500670.1038398235,207.4587794002423,899.1,2115.87607528082,208.86639867744842,919.5916666666667
118,None,0.0,50003.14325276989,499290.74258631794,207.03656108847025,886.8,2120.913778109485,208.57426606644654,915.9749999999999
119,None,0.0,50009.42631444556,498976.5895025345,207.0118902929981,869.4,2121.043513418511,208.31533289193644,912.9833333333332
120,None,0.0,49892.05979169573,504844.9156400267,206.5724218705539,821.2,2124.632856551423,208.09023131354752,909.1750000000001
121,None,0.0,50084.749884488134,495210.4110004056,205.7438800607256,845.6,2125.8316131372203,207.79611219687408,905.3666666666667
122,None,0.0,50088.870940471126,495004.35820125573,205.72634181380917,820.0,2135.307115346071,207.46806786954986,894.9833333333335
123,None,0.0,50463.34590588235,476280.6099306943,205.71773855970326,883.4,2149.355727211595,207.1766056602189,890.6333333333333
124,None,0.0,50903.40782287796,454277.51408091356,205.6935385111849,958.4,2148.240528247653,206.9184232608882,895.8583333333332
125,None,0.0,51261.56399164869,436369.7056423775,206.50518469642716,1018.7,2147.7528175837865,206.7983029873631,905.3916666666668
126,None,0.0,51587.44124454357,420075.8429976329,205.6450314820268,1070.9,2143.420869528211,206.6085876311635,914.1
127,None,0.0,51436.14620392203,427640.5950287101,204.4042092870298,1002.3,2128.4688179022583,206.28302083764834,918.5999999999999
128,None,0.0,51328.458494453735,433024.9805021244,203.99871082040391,945.6,2119.677091518032,205.95952399029792,918.4499999999999
129,None,0.0,51313.95033106375,433750.3886716237,203.98281534411976,916.1,2109.102246531007,205.6698603189544,919.8666666666667
130,None,0.0,51411.39916067072,428877.947191276,203.94954772018116,919.1,2109.1844304938986,205.4126092049303,922.5583333333334
131,None,0.0,51238.76153082269,437509.82868367794,203.93138099923425,849.7,2104.8843369022134,205.15590009711664,920.9166666666666
132,None,0.0,51094.31369508623,444732.22047050094,203.51841506369527,785.6,2091.7290341660214,204.9013995298784,917.9499999999999
133,None,0.0,51455.305845517,426682.61294896185,203.51046735865512,852.9,2087.2316613580706,204.71528180470588,918.5583333333333
134,None,0.0,51637.18293204028,417588.7586227983,203.88401292785832,879.5,2080.8133692318015,204.5617543975433,923.5166666666665
135,None,0.0,51575.090575393544,420693.3764551355,203.86780596254903,848.0,2068.415679617775,204.40759334778045,920.5666666666666
136,None,0.0,51374.73768025508,430711.02121205896,203.85953703781757,784.8,2060.7672057003615,204.25475989166648,906.1
137,None,0.0,51554.469669662874,421724.4217416692,203.85143355516294,818.7,2061.1775387745297,204.03361396322782,889.4333333333333
138,None,0.0,51725.66759726819,413164.5253614037,203.8350481069197,851.0,2056.691530499344,203.88278201530224,871.1083333333332
139,None,0.0,51496.91054078628,424602.3781854999,204.22336686599678,783.0,2056.4536320977154,203.86771181354948,852.8333333333334
140,None,0.0,51663.018630505016,416296.9736995627,203.81008925060982,813.3,2047.7756583090322,203.85199334939998,841.8083333333334
141,None,0.0,51636.280474860265,417633.88148179976,204.61248981098242,800.6,2039.3453801987246,203.9044662216385,832.1833333333334
142,None,0.0,51644.24581607716,417235.6144209552,205.41440721179612,801.7,2031.4392181612043,204.02653784593977,822.4
143,None,0.0,51398.652814111716,429515.2645192271,204.9933567358468,742.1,2029.0102916348908,204.11503582399084,813.4333333333334
144,None,0.0,51326.95975850787,433099.91729941947,205.39853086857912,726.9,2014.5629915767954,204.2717121410645,808.5416666666666
145,None,0.0,51990.94318882533,399900.7457835471,206.20823098508714,898.7,2012.2932911545129,204.4965257766005,812.3583333333335
146,None,0.0,51710.534558845575,413921.1772825347,206.6135582443398,837.4,2008.2527932642884,204.7239878863073,808.85
147,None,0.0,51806.34771079569,409130.5196850289,206.19994994070967,867.1,2002.157507047987,204.91833321782067,810.4416666666667
148,None,0.0,51623.03311754772,418296.2493474271,206.19168769462286,829.2,1992.0130419900797,205.11267910588776,814.1416666666668
149,None,0.0,51677.40404815153,415577.7028172363,206.5884408165137,854.0,1988.0889819673016,205.34076304433367,817.0833333333334
150,None,0.0,51803.707888497265,409262.5107999499,206.5548951698075,899.4,1988.2853146525497,205.56741696624098,821.1166666666668
151,None,0.0,51511.99837802525,423847.9863235505,205.72122805818464,838.0,1988.170376175407,205.69223873225664,825.7000000000002
152,None,0.0,51345.04985522372,432195.41246362776,205.72122805818464,807.9,1975.8162144641185,205.8515002995545,825.25
153,None,0.0,51867.538599895706,406070.97523002804,205.6878618683636,953.3,1981.4912324441698,205.94111463766964,837.9749999999999
154,None,0.0,51572.93468346106,420801.1710517602,206.08493006161902,893.9,1987.5925171699905,205.99699154182153,845.6583333333333
155,None,0.0,51483.164836861295,425289.66338174837,206.08493006161902,882.7,1979.3754008025485,206.0879559856359,857.375
156,None,0.0,51304.30055650547,434232.8773995399,206.48945630460244,852.5,1967.3007843164407,206.1788664386378,867.8416666666667
157,None,0.0,51501.53533516842,424371.13846639264,207.30676119067624,920.7,1965.1164532273372,206.2704106224369,869.6750000000001
158,None,0.0,51302.95708170929,434300.05113934894,207.68717462634908,896.5,1965.2076388684975,206.35987865427103,874.6
159,None,0.0,51024.35970714267,448229.91986767936,207.26497656080033,849.6,1963.1541475831787,206.44863087261191,873.1416666666668
160,None,0.0,50876.29424097051,455633.1931762877,207.26464640134094,833.1,1963.0476818097982,206.53804409817178,873.4666666666666
161,None,0.0,50751.93857667819,461850.97639090306,207.24102012715497,824.2,1970.6585219882804,206.59242570739187,870.9833333333332
162,None,0.0,50681.95933749736,465349.93834994466,207.2245088519312,825.6,1978.617266577317,206.64822684756885,864.8333333333334
163,None,0.0,50652.18470325856,466838.67006188456,207.63696057306714,834.8,1972.4831044006448,206.80787122380903,864.5666666666666
164,None,0.0,50591.9896316913,469848.42364024755,207.19958673178743,838.8,1968.1477509951474,206.93106777994262,867.1416666666668
165,None,0.0,50476.22360248357,475636.7251006337,207.60378611756656,830.2,1968.0832613857463,207.0907281340429,856.8833333333333
166,None,0.0,50490.7957779537,474908.1163271273,208.00765547595006,854.8,1978.3354677351683,207.25095525190378,853.625
167,None,0.0,50317.58558332088,483568.6260587688,207.98339710909673,832.2,1982.2430214637545,207.40916083919356,849.4166666666666
168,None,0.0,50110.08376451993,493943.7169988163,207.5615396387156,797.4,1990.361139497559,207.49850111703634,844.8249999999999
169,None,0.0,50168.924092189656,491001.7006153304,207.55312562360444,826.6,2012.3570664239262,207.51903148644703,836.9833333333332
170,None,0.0,50133.24442727842,492785.68386089185,207.52917513611573,829.6,2021.7578973206678,207.50586486226095,831.4083333333333
171,None,0.0,49934.57800362289,502719.0050436683,207.1079792404092,788.1,2025.2412525070188,207.49278175222832,826.2833333333333
172,None,0.0,49918.969449108656,503499.4327693804,207.52010106616052,791.4,2020.939472730278,207.5140696409633,822.8083333333334
173,None,0.0,49800.76866551769,509409.4719489294,207.49568081877632,773.1,2024.7401008355675,207.53529136526507,818.5500000000001
174,None,0.0,49863.22829931187,506286.4902592202,207.90005185181047,797.9,2029.2361413847993,207.591586615255,816.2416666666667
175,None,0.0,49678.77263174476,515509.273637576,207.89873068497778,759.3,2033.212854573813,207.61340079124759,809.9499999999999
176,None,0.0,49846.88735064139,507103.5376927446,207.8825724090384,806.7,2048.943421362503,207.67031626435184,807.275
177,None,0.0,49675.192065809126,515688.3019343574,207.03422313756306,765.9,2063.6164572074877,207.62285268268485,801.9166666666666
178,None,0.0,49602.53467305699,519321.171571963,207.44585021919943,745.7,2063.2092342523783,207.57603557795565,792.8250000000002
179,None,0.0,49748.487242534364,512023.5430980952,208.255584083651,781.0,2069.580247998982,207.59871782583517,788.5583333333334
180,None,0.0,49712.141485411936,513840.83095421706,208.23084700986246,773.0,2068.7584096515297,207.6544934400974,786.5250000000001
181,None,0.0,49859.33806363171,506481.0020432285,208.63489131379492,810.3,2070.5042648586086,207.7446405809466,785.1666666666666
182,None,0.0,49840.51394413026,507422.20801830123,208.62530512312122,806.5,2070.4760551692134,207.8359847465304,783.2416666666667
183,None,0.0,49684.23483975469,515236.16323708027,209.45646773811418,769.1,2078.3068539107476,208.03169212133915,781.6583333333333
184,None,0.0,49960.423462933184,501426.7320781561,209.44687495217195,834.7,2094.6806154450755,208.1922566118401,785.2666666666668
185,None,0.0,50047.13936257826,497090.93709590205,209.43136074815962,850.2,2094.2361507117635,208.35356327262204,791.6916666666666
186,None,0.0,49932.354312773794,502830.1895861252,209.4076334778759,818.2,2094.0477868931,208.47919507479415,793.3833333333333
187,None,0.0,50081.868277670124,495354.4913413096,209.8041027203451,853.8,2102.0736585807435,208.63797607774143,801.2583333333333
188,None,0.0,50026.16231191034,498139.7896292986,209.79553051776549,835.0,2108.6531407109096,208.7973892534687,803.6166666666667
189,None,0.0,50090.01167409921,494947.3215198553,210.21522233172874,841.6,2102.610104693958,209.0624725196492,809.9250000000001
190,None,0.0,50281.08264623988,485393.772912822,210.20564380847378,880.8,2101.883059603888,209.29245531875537,821.1833333333333
191,None,0.0,50156.48920387498,491623.4450310681,210.60061833698668,845.1,2107.820000918149,209.48787483986666,826.525
192,None,0.0,50409.1595460098,478989.9279243279,211.01275011693733,899.9,2114.4220677645044,209.71970009878956,837.0999999999999
193,None,0.0,50325.25407513866,483185.2014678844,211.40906037567657,876.2,2114.8904759518678,209.9508808539464,842.5916666666667
194,None,0.0,50202.436961914005,489326.05712911783,211.40066223258003,840.5,2109.1214782756333,210.18216061306794,845.4250000000001
