Month,Active Event,Unemployment Rate,Avg Person Savings,Avg Firm Savings,Avg Price,Avg Inventory,Avg Wage,Price_SMA,Stock_SMA
1,None,0.004,65419.05613739171,184521.0338498918,130.54931401118802,117.0,970.2,,
2,None,0.0,64799.48315867405,215499.68278577487,132.638103035367,18.2,979.9019999999998,,
3,None,0.0,64415.434855613144,234702.0979388201,135.29086509607436,13.9,989.7010200000001,,
4,None,0.0,64102.79490195218,250334.09562186772,137.99668239799584,41.7,999.5980302,,
5,None,0.0,63667.73943550236,272086.8689443589,140.75661604595578,31.9,1009.594010502,,
6,None,0.0,63235.89570212509,293679.05561322224,143.5717483668749,29.7,1019.68995060702,,
7,None,0.0,62792.67014054025,315840.33369246393,146.4431833342124,30.0,1029.88685011309,,
8,None,0.0,62339.9218083844,338477.75030025566,149.37204700089666,33.5,1040.185718614221,,
9,None,0.0,61881.28006198744,361409.8376201051,152.35948794091456,41.4,1050.5875758003633,,
10,None,0.0,61354.5693979863,387745.3708201612,155.40667769973288,33.7,1061.093451558367,,
11,None,0.0,60877.033217443815,411622.1798472846,158.51481125372752,48.1,1071.7043860739507,,
12,None,0.0,60288.0469486035,441071.49328929826,161.68510747880208,34.4,1082.4214299346902,145.3820536384785,39.458333333333336
13,None,0.0,59805.83688295483,465181.996571733,164.91880962837814,59.7,1093.2456442340372,148.24617827324434,34.68333333333333
14,None,0.0,59350.41153637227,487953.26390086004,167.88604962838477,97.4,1104.1781006763777,151.1835071559958,41.28333333333334
15,None,0.0,59131.95949627036,498875.8659059543,170.56825278812818,207.3,1117.4503214465078,154.12328946366696,57.4
16,None,0.0,57892.779687046415,560834.8563671528,172.25704737018887,23.1,1133.1753678661928,156.97831987801638,55.85
17,None,0.0,57258.879506509176,592529.8653940147,175.70218831759266,19.8,1153.7456343600923,159.8904509006528,54.84166666666667
18,None,0.0,56589.58808317679,625994.4365606351,179.2162320839445,10.4,1181.694679561859,162.86082454374193,53.23333333333334
19,None,0.0,55956.37733031033,657654.9742039582,182.8005567256234,12.9,1217.381858884627,165.89060565969285,51.80833333333334
20,None,0.0,55341.98752426685,688374.4645061323,186.4565678601359,20.6,1254.1467910229426,168.98098239796278,50.73333333333334
21,None,0.0,54723.965116041436,719275.584917403,190.18569921733862,27.3,1292.0220241118354,172.13316667099812,49.55833333333334
22,None,0.0,54098.65785006603,750540.9482161729,193.9894132016854,32.0,1331.041089240013,175.34839462949415,49.416666666666664
23,None,0.0,53391.75363994563,785886.1587221919,197.86920146571913,15.9,1371.2385301350614,178.62792714716014,46.73333333333334
24,None,0.0,52804.21845461843,815262.9179885515,201.82658549503353,29.5,1412.6499337451403,181.97305031517942,46.32500000000001
25,None,0.0,52139.09118126053,848519.2816564463,205.8631172049342,23.7,1455.3119617442437,185.3850759465591,43.32500000000001
26,None,0.0,51484.35781614257,881255.9499123453,209.98037954903288,20.1,1499.2623829889199,188.89293677327979,36.88333333333333
27,None,0.0,50881.97018866782,911375.331286083,214.17998714001357,28.3,1544.5401069551851,192.52724796927023,21.96666666666667
28,None,0.0,50304.28796476365,940259.4424812905,218.46358688281384,41.4,1591.1852181852319,196.37779292865562,23.49166666666667
29,None,0.0,49710.804244194194,969933.6285097634,222.83285862047015,50.0,1639.2390117744258,200.30534878722878,26.008333333333336
30,None,0.0,49119.91701274931,999477.9900820081,227.2895157928795,58.2,1688.7440299300135,204.31145576297334,29.99166666666667
31,None,0.0,48680.25365682669,1021461.15787814,231.38072707715136,96.2,1739.7440996338999,208.35980329226734,36.93333333333333
32,None,0.0,48364.904867048295,1037228.5973670615,235.54467100647693,157.6,1792.2843714428436,212.45047855446242,48.35
33,None,0.0,47933.30231993024,1058808.7247229663,237.89084430429733,186.2,1846.4113594604175,216.42590731170898,61.59166666666666
34,None,0.0,47510.88929179799,1079929.3761295779,241.2014524755301,214.6,1902.1729825161224,220.36024391786273,76.80833333333332
