Month,Unemployment Rate,Avg Person Savings,Avg Firm Savings,Avg Price,Avg Inventory,Avg Wage,Price_SMA,Stock_SMA
73,0.0,66470.21595767484,580325.8296663911,253.44267070416345,903.7,2844.3279323686884,254.8802398226667,913.85
74,0.0,66711.32320196884,568270.4674516901,252.91360188103516,883.2,2844.138051732896,254.65530040139564,917.7833333333333
75,0.0,66857.38570045476,560967.3425273951,252.89365275649615,843.5,2843.5388967503595,254.47195540677146,919.2166666666667
76,0.0,67238.2860657651,541922.3242618779,252.37498569493732,850.9,2834.836067226228,254.28867963696635,918.7916666666666
77,0.0,67530.13493530889,527329.8807846889,252.34507816770056,843.2,2831.390614854453,254.01814512382816,919.0749999999999
78,0.0,67739.80605252892,516846.3249236884,252.32552801926613,819.0,2825.708664247745,253.74598143165372,913.2583333333333
79,0.0,67961.16279705618,505778.4876973262,252.81408056400863,799.5,2822.915958030042,253.51537930408918,899.1750000000001
80,0.0,68155.71978158962,496050.63847065315,253.3115982133542,775.2,2817.955050530087,253.32706785828793,882.475
81,0.0,68791.21421850966,464275.9166246514,253.31098801677862,839.7,2812.2794545291194,253.18362549530252,869.4
82,0.0,68961.12726411971,455780.2643441488,254.29785903554824,815.4,2803.1314951252643,253.16562901931502,856.5583333333333
83,0.0,69420.64387448406,432804.43382593215,253.77879265938628,848.2,2797.5036357908084,253.14766815238875,846.8000000000001
84,0.0,69737.12376911918,416980.43909417593,254.27731924681308,854.5,2780.608235873613,253.17384624662398,839.6666666666666
85,0.0,70143.58065726224,396657.5946870229,254.75651927146072,886.0,2763.4175790871013,253.28333362723208,838.1916666666666
86,0.0,70150.00887568593,396336.18376583804,254.7367778580191,844.0,2749.402852112843,253.43526495864742,834.9250000000001
87,0.0,70068.27878814918,400422.68814267626,254.21668724840984,782.4,2724.645712973412,253.54551783297356,829.8333333333334
88,0.0,70089.76171055465,399348.5420224021,253.70839352808215,744.1,2700.2472793511297,253.6566351524023,820.9333333333334
89,0.0,70520.48054347686,377812.60037629196,253.69761721292375,793.1,2678.5044896513127,253.76934673950424,816.7583333333333
90,0.0,70942.55696080776,356708.7795097468,255.2025615395424,847.5,2664.8856368362904,254.00909953286057,819.1333333333333
91,0.0,70753.9054920974,366141.35294526466,254.6643840391364,783.3,2635.396631313662,254.1632914891212,817.7833333333333
92,0.0,71104.34184606819,348619.53524672554,254.6643840391364,832.7,2619.1439708898783,254.27602364126975,822.5749999999999
