% # columns="iteration, evaluation, sigma, beta, void,  sigvec==sigma_vec.scaling factors from diagonal decoding", seed=296134, Fri May  8 14:10:16 2026, <python>{}</python>
1 10 0.4793509710856094 1 0 0.4666666666666666 1.0 0.0933321666739583 1.0 1.0 1.0 0.059997750042187034 0.05999737505742101
2 20 0.4830784432760279 1 0 0.4666666666666666 1.0 0.0933321666739583 1.0 1.0 1.0 0.059997750042187034 0.05999737505742101
3 30 0.5181436328933413 1 0 0.45821938424224623 1.0 0.0933321666739583 1.0 1.0 1.0 0.05498902065962357 0.05937328209678067
4 40 0.49832490453448536 1 0 0.45821938424224623 1.0 0.0933321666739583 1.0 1.0 1.0 0.05498902065962357 0.05937328209678067
5 50 0.49779848762085704 1 0 0.45821938424224623 1.0 0.0933321666739583 1.0 1.0 1.0 0.05498902065962357 0.05937328209678067
6 60 0.4726237035749175 1 0 0.45821938424224623 1.0 0.0933321666739583 1.0 1.0 1.0 0.05498902065962357 0.05937328209678067
7 70 0.4617261037273654 1 0 0.45821938424224623 1.0 0.0933321666739583 1.0 1.0 1.0 0.05498902065962357 0.05937328209678067
8 80 0.4453513263202998 1 0 0.45821938424224623 1.0 0.0933321666739583 1.0 1.0 1.0 0.05498902065962357 0.05937328209678067
9 90 0.4292554216840804 1 0 0.45821938424224623 1.0 0.0933321666739583 1.0 1.0 1.0 0.05498902065962357 0.05937328209678067
10 100 0.42078754753949443 1 0 0.45821938424224623 1.0 0.0933321666739583 1.0 1.0 1.0 0.05498902065962357 0.05937328209678067
11 110 0.4054539743052666 1 0 0.45821938424224623 1.0 0.0933321666739583 1.0 1.0 1.0 0.05498902065962357 0.05937328209678067
12 120 0.4521579331388047 1 0 0.45821938424224623 1.0 0.0933321666739583 1.0 1.0 1.0 0.05498902065962357 0.05937328209678067
13 130 0.4127169686286401 1 0 0.45821938424224623 1.0 0.0933321666739583 1.0 1.0 1.0 0.05498902065962357 0.05937328209678067
14 140 0.45209512377989086 1 0 0.45821938424224623 1.0 0.0933321666739583 1.0 1.0 1.0 0.05498902065962357 0.05937328209678067
15 150 0.5447127822759946 1 0 0.4176340487759982 1.0 0.0777613569089475 1.0 1.0 1.0 0.05270221894528798 0.04889394705943001
16 160 0.5413590998478398 1 0 0.4176340487759982 1.0 0.0777613569089475 1.0 1.0 1.0 0.05270221894528798 0.04874853499829196
17 170 0.5090280940645694 1 0 0.4176340487759982 1.0 0.0777613569089475 1.0 1.0 1.0 0.05270221894528798 0.04874853499829196
18 180 0.4875983134055592 1 0 0.4176340487759982 1.0 0.0777613569089475 1.0 1.0 1.0 0.05270221894528798 0.04874853499829196
19 190 0.4954433997669808 1 0 0.4176340487759982 1.0 0.0777613569089475 1.0 1.0 1.0 0.05270221894528798 0.04874853499829196
20 200 0.4837869812941111 1 0 0.4176340487759982 1.0 0.0777613569089475 1.0 1.0 1.0 0.05270221894528798 0.04874853499829196
21 210 0.45769814105535944 1 0 0.4176340487759982 1.0 0.0777613569089475 1.0 1.0 1.0 0.05270221894528798 0.04874853499829196
22 220 0.46645724425505736 1 0 0.4176340487759982 1.0 0.0777613569089475 1.0 1.0 1.0 0.05270221894528798 0.04874853499829196
23 230 0.4603276644786633 1 0 0.4176340487759982 1.0 0.0777613569089475 1.0 1.0 1.0 0.05270221894528798 0.04874853499829196
24 240 0.48924739054084737 1 0 0.4176340487759982 1.0 0.0777613569089475 1.0 1.0 1.0 0.05270221894528798 0.04874853499829196
25 250 0.5597769475866404 1 0 0.396828477540601 1.0 0.07428358620293796 1.0 1.0 1.0 0.05270221894528798 0.04874853499829196
