Month,Unemployment Rate,Avg Person Savings,Avg Firm Savings,Avg Price,Avg Inventory,Avg Wage,Price_SMA,Stock_SMA
20,0.0,52759.87195490666,750299.5498145275,184.84974176349738,26.2,1374.3946468273216,166.16217296852986,17.908333333333335
21,0.0,52211.039641762276,777741.1654717455,188.54673659876732,14.5,1415.9013651615066,169.48541642790045,17.34166666666667
22,0.0,51741.47218109191,801219.5385052639,192.31767133074268,22.6,1458.6615863893844,172.87512475645846,18.175
23,0.0,51252.698060795,825658.244520108,196.16402475735754,24.5,1502.7131662983436,176.3326272515876,18.675
24,0.0,50764.29356408833,850078.4693554414,200.0873052525047,25.2,1548.0951039205538,179.85927979661938,19.466666666666665
25,0.0,50334.17455949993,871584.4195848616,204.0890513575548,38.8,1594.8475760589545,183.4564653925518,21.666666666666668
26,0.0,49848.032886502384,895891.5032347369,208.1708323847059,37.2,1643.0119728559353,187.12559470040284,23.45
27,0.0,49448.773452977504,915854.4749109817,212.3342490324,54.5,1692.6309344361841,190.86810659441088,26.666666666666668
28,0.0,49053.66827434118,935609.7338427985,216.15626551498326,69.1,1743.7483886561572,194.6500796847937,31.0
29,0.0,48679.579809963325,954314.1570616916,220.4793908252829,86.7,1796.4095899935733,198.5076922369842,36.233333333333334
30,0.0,48744.209886611614,951082.653229276,224.00532843101533,196.4,1850.6611596113792,202.36881952265404,51.074999999999996
31,0.0,48125.69790864052,982008.252127829,226.23212696216387,146.6,1906.551126631643,206.11939368424797,61.85833333333333
32,0.0,47533.545809723044,1011615.8570737008,229.83741982211868,101.1,1964.1289706559187,209.86836685579976,68.10000000000001
33,0.0,47634.24202715742,1006581.0462019813,233.51481853927262,199.3,2023.4456655697275,213.61570701750853,83.5
34,0.0,47399.76381530577,1018304.9567945653,235.84077322787243,215.8,2084.553724669933,217.2426321756027,99.60000000000001
35,0.0,47419.05313326157,1017340.4908967752,238.6539832464952,280.4,2141.1309938314707,220.78346204969748,120.925
36,0.0,47217.45624943505,1027420.3350881024,241.51408009876164,289.3,2199.289371455217,224.23569328688555,142.93333333333334
37,0.0,47177.54246269732,1029416.02442499,243.42706291142508,326.5,2251.988622068803,227.51386091637474,166.90833333333333
38,0.0,47163.42593404717,1030121.8508574985,245.8565510835077,360.1,2303.570655682439,230.65433747460824,193.8166666666667
39,0.0,47082.30683011068,1034177.806054323,247.80779355242444,374.5,2351.874833042087,233.61046618461026,220.48333333333335
40,0.0,46893.38443801479,1043623.9256591197,249.7785484460303,362.4,2398.8172844699716,236.41232309553084,244.92499999999998
41,0.0,46855.74883380807,1045505.7058694571,251.2712489347516,372.6,2437.025728212266,238.97831127131988,268.75
42,0.0,46921.89156467794,1042198.5693259652,253.26151625304664,401.7,2480.567240345418,241.41632692315582,285.85833333333335
43,0.0,46784.66435271297,1049059.9299242129,255.7891557472814,385.1,2519.818315415484,243.87941265524898,305.7333333333333
44,0.0,47027.03944070049,1036941.1755248373,257.31171024577714,438.3,2557.287264329486,246.16893685722053,333.8333333333333
45,0.0,47056.404424078355,1035472.9263559442,258.83426474427284,449.3,2590.0925364665018,248.2788907076372,354.6666666666667
46,0.0,47002.63639207331,1038161.3279561963,260.38727033273847,438.0,2625.9907016535317,250.3244321330427,373.18333333333334
47,0.0,47142.83309488788,1031151.4928154692,261.4226073917156,458.0,2659.730612759738,252.22181747847776,387.98333333333335
48,0.0,47256.31772182461,1025477.2614686321,263.49328150966977,472.9,2693.8772256628436,254.05341759605338,403.28333333333336
49,0.0,47281.03939801564,1024241.1776590832,264.53897193923666,467.2,2723.0514067789327,255.81274334837107,415.0083333333334
50,0.0,47369.02157455644,1019842.0688320439,265.59501573939326,468.0,2757.9793939460205,257.45761540302817,424.0
51,0.0,47520.15529348929,1012285.3828854021,268.2351252397849,478.6,2801.764537358764,259.15989304364155,432.67499999999995
52,0.0,47824.8686959833,997049.7127607025,268.76314713986324,512.8,2840.653114364022,260.7419429347943,445.2083333333333
53,0.0,47954.23800361318,990581.2473792074,269.8297513780214,509.5,2880.0348746134473,262.2884848050668,456.6166666666666
54,0.0,48195.28766617449,978528.7642511402,270.9069160541811,519.7,2917.090334038382,263.7589347884946,466.45
55,0.0,48467.96250242376,964895.0224386755,273.0612454065007,531.7,2951.624381065699,265.19827559342957,478.6666666666667
56,0.0,48778.53510017225,949366.3925512511,274.6877640675019,548.5,2986.5239377417774,266.6462800785733,487.8500000000001
57,0.0,48993.11985374073,938637.1548728272,275.22634640558186,541.6,3015.8519122071175,268.0122868836824,495.5416666666667
58,0.0,49442.86381564307,916149.9567777095,275.7757003904233,572.4,3048.4977460174177,269.29465605515617,506.74166666666673
59,0.0,50334.279602696806,871579.1674250225,277.4127752652509,680.8,3081.4950320691996,270.6271700446174,525.3083333333334
60,0.0,50674.66997478664,854559.6488205304,278.5002764136431,684.6,3102.6373853911723,271.8777529532819,542.9499999999999
61,0.0,50920.785567431,842253.8691883128,278.4890651975205,666.2,3123.9895100968283,273.0402607248055,559.5333333333333
62,0.0,51266.3632488442,824974.9851176527,279.03819944076804,663.1,3154.604607295777,274.1605260332534,575.7916666666666
63,0.0,52200.81127345588,778252.5838870689,280.1364635324312,762.4,3179.0909674552627,275.1523042243073,599.4416666666667
64,0.0,52833.208112408065,746632.7419394589,280.6743954371165,805.6,3194.459813878644,276.1449082490784,623.8416666666667
65,0.0,53334.19855868582,721583.2196255715,281.22330554393824,821.3,3204.071657121522,277.0943710962381,649.825
66,0.0,53982.94868580232,689145.7132697464,281.21165502217895,860.8,3216.8303996163945,277.95309934357124,678.25
67,0.0,54609.43950415668,657821.1723520282,281.20089638408524,893.3,3223.032838847475,278.6314035917033,708.3833333333333
68,0.0,55220.0780214801,627289.2464858568,281.73882828877055,924.6,3215.875057774951,279.21899227680905,739.7249999999999
69,0.0,56020.92058216273,587247.1184517245,282.2763209739227,994.0,3209.034565476849,279.80649015750413,777.4249999999998
70,0.0,56154.45961999244,580570.1665602394,281.6935798924686,945.3,3196.154961548239,280.29964678267453,808.5
71,0.0,56295.01662818414,573542.3161506535,280.572897763392,894.5,3189.2611874655627,280.56299032418633,826.3083333333334
72,0.0,56599.40714995634,558322.7900620432,281.1211403022472,876.2,3182.5058339601687,280.78139564823664,842.275
73,0.0,56927.57018219683,541914.6384500191,280.53906239747874,863.3,3169.2531540008054,280.95222874823315,858.6999999999999
74,0.0,57292.44478093171,523670.9085132759,279.95744145671256,859.5,3155.9329714378814,281.0288322495619,875.0666666666666
75,0.0,57644.769347536,506054.6801830612,279.9466914238079,853.9,3149.2778878108475,281.0130179071766,882.6916666666666
76,0.0,58019.77515359186,487304.38988026825,279.9010174210189,856.4,3142.513589750585,280.9485697391685,886.9250000000001
77,0.0,58460.22629135956,465281.83299188345,281.019907623804,873.5,3136.1159750594607,280.9316199124906,891.275
78,0.0,58419.52966608678,467316.66425552237,280.44880801082655,801.2,3111.1072861293565,280.86804932821127,886.3083333333334
79,0.0,58826.49870036331,446968.21254169627,281.00825306744554,814.6,3092.5217569756724,280.8519957184913,879.75
80,0.0,58793.72169948404,448607.0625856597,281.52448316389393,758.1,3086.5180298047817,280.8341336247516,865.875
81,0.0,58878.62294214497,444362.0004526133,282.07340662390396,724.5,3061.8714992977953,280.8172240955833,843.4166666666666
82,0.0,59191.96581791463,428694.8566641306,282.63240421398893,736.6,3031.252784304817,280.89545945571,826.025
83,0.0,59208.09212994069,427888.5410628274,283.18066036947556,701.8,3013.563234242733,281.11277300621697,809.9666666666667
84,0.0,59007.024701273505,437941.9124961867,283.1575930514771,631.5,2998.254424257103,281.2824774019861,789.5750000000002
85,0.0,58859.12082606273,445337.10625672573,283.70674055825833,575.1,2974.2490412105794,281.54645058205114,765.5583333333333
86,0.0,59503.94883546616,413095.705786554,284.26640948244705,666.3,2947.321900833415,281.9055312508623,749.4583333333334
87,0.0,59900.55348638417,393265.4732406542,286.52610670930983,721.9,2929.7060366736396,282.4538158579875,738.4583333333334
88,0.0,59591.944250059736,408695.93505687546,286.52542149179754,651.6,2904.3220240895307,283.0058495305523,721.3916666666668
89,0.0,59753.34758708483,400625.76820562076,287.096055449549,670.1,2881.2529888343997,283.5121951826978,704.4416666666667
90,0.0,60467.42756589801,364921.7692649624,289.3568895583503,796.6,2865.9490247830354,284.2545353116581,704.0583333333333
91,0.0,60239.239715476615,376331.16178603173,289.9163346149693,762.6,2862.572834192445,284.9968754406184,699.725
92,0.0,60103.35276006699,383125.50955651305,290.48765388164406,747.2,2848.05704983497,285.7438063337642,698.8166666666666
93,0.0,59916.69630322728,392458.33239849895,291.057589383394,724.7,2819.359635520538,286.49248823038846,698.8333333333334
94,0.0,60172.7502862893,379655.63324539823,291.05735647157445,782.4,2801.708622520642,287.1945675851872,702.65
95,0.0,59967.710620842125,389907.6165177578,291.62752469885163,762.5,2790.5899667060316,287.89847294596854,707.7083333333334
96,0.0,60124.05056202347,382090.6194586909,291.6163586211792,808.4,2763.3188747288414,288.603370076777,722.4499999999999
97,0.0,59741.42866375125,401221.71437230206,291.5818914916484,764.8,2749.542017842224,289.25963265455954,738.2583333333333
98,0.0,59890.333939307566,393776.45059448696,292.74598476546123,817.2,2746.985991233328,289.9662639281441,750.8333333333334
99,0.0,60178.68882784322,379358.7061677036,292.69965933124956,896.6,2741.103171309799,290.480726646639,765.3916666666665
100,0.0,59684.28236209609,404079.02945505996,293.28077525215275,842.7,2732.339842546092,291.04367279333536,781.3166666666667
101,0.0,59773.19605687838,399633.344715946,292.674981205588,890.2,2730.3809509271136,291.50858327300523,799.6583333333333
102,0.0,59280.81218933456,424252.5380931363,293.2449212724468,837.9,2718.419943890901,291.8325859158466,803.1
103,0.0,59108.04861652122,432890.71673380333,293.2449212724468,842.1,2704.6868216595935,292.10996813730304,809.7249999999999
104,0.0,58627.932853083,456896.50490571326,293.8044117733017,795.6,2710.4434738282685,292.3863646282745,813.7583333333333
105,0.0,58273.55550563003,474615.37227836234,293.79300831559146,769.8,2702.554218157155,292.61431620595766,817.5166666666668
106,0.0,58265.34707794177,475025.7936627761,293.7804416955096,804.9,2707.7448957622164,292.84123997461893,819.3916666666668
107,0.0,57823.065538507435,497139.87063449284,293.76834006118014,764.7,2712.6020328606187,293.01964125481294,819.5749999999999
108,0.0,57452.582441594306,515664.0254801498,293.7452960433907,735.7,2725.8523346919837,293.1970527066639,813.5166666666668
109,0.0,57424.91973494727,517047.1608125016,293.7334270414983,763.0,2730.767871265302,293.3763473358181,813.3666666666667
110,0.0,57213.57159393202,527614.5678632641,295.4786358638536,760.6,2747.322025204022,293.60406826068413,808.6500000000001
111,0.0,57038.52582579992,536366.8562698697,296.0602169565779,761.2,2764.3338751501115,293.8841147294615,797.3666666666668
112,0.0,56891.48378025314,543718.9585472092,296.6410806845861,763.6,2775.0178198486988,294.1641401821642,790.775
113,0.0,56705.49285560115,553018.5047798085,296.62874157522884,757.2,2797.1058656384207,294.49362021296764,779.6916666666667
114,0.0,56662.99343687236,555143.4757162478,297.198208014024,771.8,2813.5273560314367,294.82306077476574,774.1833333333333
115,0.0,56639.44640245271,556320.8274372303,297.7800218322757,789.0,2831.004697564276,295.20098582141816,769.7583333333333
116,0.0,57008.71935324396,537857.1798976684,298.361370292563,871.4,2845.9438641517067,295.58073236468994,776.0750000000002
117,0.0,56753.71421060554,550607.4370295899,298.91948360179947,845.4,2862.326346475684,296.00793863854057,782.375
118,0.0,56947.09740669246,540938.2772252446,298.91948360179947,891.2,2869.2772051661304,296.4361921307314,789.5666666666666
119,0.0,56724.37708041854,552074.2935389408,298.9182976507506,862.7,2879.9100401378937,296.8653552631956,797.7333333333335
120,0.0,57014.79691608311,537553.3017557131,297.696046917397,919.1,2901.474606015776,297.19458450269616,813.0166666666668
121,0.0,56838.89617973109,546348.3385733139,297.67255578695267,891.8,2914.8731530055907,297.52284523148404,823.75
122,0.0,56845.64424979892,546010.935069923,298.26576850153157,894.3,2899.8181724372107,297.7551062846239,834.8916666666668
123,0.0,56839.171387586925,546334.5781805237,298.23115277059316,899.0,2905.2350144255493,297.93601760245843,846.375
124,0.0,56658.28669059687,555378.8130300266,298.82294129970694,871.3,2900.256361772013,298.1178393203852,855.35
125,0.0,57340.18014228392,521284.14044567506,298.2178643308365,991.5,2891.1583141395977,298.2502662166858,874.875
126,0.0,57123.565683756984,532114.8633720211,296.996322119391,957.3,2890.785622140737,298.2334423921331,890.3333333333334
127,0.0,57127.06532908597,531939.8811055731,296.99750854501,959.3,2906.1542836408435,298.1682329515276,904.5250000000001
128,0.0,57169.347331764155,529825.7809716644,295.77645828440143,966.1,2922.8346598238536,297.9528236175141,912.4166666666666
129,0.0,56974.105347971345,539587.8801613052,294.56776514423524,928.1,2929.855929399272,297.59018041271713,919.3083333333333
130,0.0,56839.10964079698,546337.6655200225,293.9648220334817,897.6,2940.4498800490837,297.17729194869065,919.8416666666667
131,0.0,57007.2870830899,537928.793405377,293.94014418697907,918.5,2950.6872248757254,296.7624458267097,924.4916666666667
132,0.0,57202.17724104753,528184.2855074953,293.3339104715161,941.2,2958.490527786584,296.3989344562196,926.3333333333334
133,0.0,57042.810911138324,536152.6020029559,292.14774092687577,897.9,2964.1722139526223,295.93853321787986,926.8416666666667
134,0.0,57128.8544550598,531850.4248068824,291.5666250059726,894.2,2960.923782153503,295.3802712599166,926.8333333333334
135,0.0,56965.77320662466,540004.4872286395,290.96413729146315,847.3,2948.8479095257,294.77468663665576,922.525
136,0.0,57570.848750485085,509750.7100356178,290.96413729146315,937.1,2952.548675807554,294.1197863026355,928.0083333333333
137,0.0,57379.443472319144,519320.97394391487,290.3253979139837,888.5,2953.3354108954654,293.46208076789776,919.4250000000001
138,0.0,57291.51460777054,523717.41717134544,289.14109724022853,854.7,2951.5618131989677,292.8074786946342,910.875
139,0.0,57346.035306746366,520991.38222255476,289.7092114996422,845.5,2953.894739375238,292.2001206075202,901.3916666666665
140,0.0,57687.16489286079,503934.9029168339,290.2773155375513,886.6,2957.565399985604,291.7418587119494,894.7666666666668
141,0.0,57752.54283828881,500666.00564543315,290.26524254649905,877.8,2961.622540798212,291.38331516213805,890.5750000000002
142,0.0,57556.95492982634,510445.40106855694,290.2431825202277,823.8,2948.6446082108546,291.0731785360335,884.4250000000001
143,0.0,57346.810288883324,520952.6331157078,290.2327298713768,770.7,2942.854650413464,290.7642273430667,872.1083333333332
144,0.0,57763.823801714796,500101.9574741346,290.7792433481278,833.0,2937.9336115035576,290.55133841611763,863.0916666666666
145,0.0,57933.156897578054,491635.3026809711,290.7546478767329,852.5,2926.4584961804358,290.4352473286057,859.3083333333334
146,0.0,57993.57804867607,488614.2451260699,290.75348796731026,853.6,2914.8573223231315,290.36748590871724,855.9249999999998
147,0.0,58333.69365037115,471608.46504131594,291.31069025749207,907.2,2908.4580208315137,290.396365322553,860.9166666666666
148,0.0,58385.3770553934,469024.2947902034,291.28677644285756,911.9,2913.5753011480383,290.4232519185025,858.8166666666666
149,0.0,58480.65027726816,464260.633696465,291.27542250304043,923.0,2925.0696092023163,290.50242063425725,861.6916666666666
150,0.0,58329.847067005976,471800.7942095747,291.264497244829,890.4,2917.144054275049,290.67937063464063,864.6666666666666
151,0.0,58317.2486233239,472430.71639367833,291.82286510724146,887.2,2919.0265049311865,290.85550843527386,868.1416666666668
152,0.0,58288.18278807543,473884.0081561023,291.79964835281356,880.6,2914.3487077554955,290.9823695032124,867.6416666666668
153,0.0,58180.66916459137,479259.68933030515,291.2066984803394,860.3,2895.305747999999,291.0608241643658,866.1833333333334
154,0.0,58252.15984376341,475685.1553717033,291.77550896382206,876.0,2888.120272444136,291.18851803466526,870.5333333333333
155,0.0,58614.64614868106,457560.84012582013,292.9119740149807,945.7,2891.7478907030995,291.41178837996557,885.1166666666668
156,0.0,58277.54855539502,474415.719790122,292.8878283970606,894.0,2902.3354139281664,291.58750380071,890.2000000000002
